chapter_id	core_sentence_zh	core_sentence_en	yixi_question_zh	yixi_question_en
1	故常无欲，以观其妙；常有欲，以观其徼。	Hence always without desire, one observes its mystery; always with desire, one observes its manifestations.	敢问无欲何以观妙，有欲何以观徼？	Dare I ask: how does observing without desire reveal mystery, and observing with desire reveal boundaries?
2	故有无相生，难易相成，长短相形，高下相倾，音声相和，前后相随。	Being and non-being create each other; difficult and easy complete each other; long and short shape each other; high and low lean on each other; sound and voice harmonise with each other; before and behind follow each other.	敢问有无何以相生？	Dare I ask: how do being and non-being give birth to each other?
3	是以圣人之治，虚其心，实其腹；弱其志，强其骨。	Therefore the sage governs by emptying the mind and filling the belly; weakening the will and strengthening the bones.	敢问虚心弱志何以成治？	Dare I ask: how does emptying the mind and weakening the will bring good order?
4	道冲而用之或不盈，渊兮似万物之宗；挫其锐，解其纷，和其光，同其尘，湛兮似或存。	The Dao is empty, yet when used it is never exhausted; deep, it seems the ancestor of the myriad things.	敢问道冲何以不盈？	Dare I ask: how can the Dao, being empty, never be exhausted?
5	天地不仁，以万物为刍狗；圣人不仁，以百姓为刍狗。	Heaven and Earth are not benevolent; they treat the myriad creatures as straw dogs.	敢问天地何以不仁？	Dare I ask: why are Heaven and Earth said to be un-benevolent?
6	谷神不死，是谓玄牝；玄牝之门，是谓天地根。	The valley spirit never dies; it is called the mysterious female.	敢问谷神何以不死？	Dare I ask: how does the valley spirit never die?
7	是以圣人后其身而身先，外其身而身存。	Therefore the sage places himself behind and yet is ahead; puts himself outside and yet is preserved.	敢问后身外身何以反得身先身存？	Dare I ask: how does putting oneself behind and outside end up placing one ahead and preserved?
8	夫唯不争，故无尤。	It is because he does not contend that he is without blame.	敢问不争何以独无尤？	Dare I ask: how does not contending alone leave one without blame?
9	持而盈之，不如其已；揣而锐之，不可长保。	To hold until full is not as good as stopping in time; to hammer until sharp cannot long be preserved.	敢问持盈揣锐何以不可长保？	Dare I ask: why can holding fullness and hammering sharpness not last long?
10	生之、畜之，生而不有，为而不恃，长而不宰，是谓玄德。	To give birth and to nourish, to give birth without possessing, to act without depending, to lead without dominating—this is called mysterious virtue.	敢问生而不有、为而不恃何谓玄德？	Dare I ask: how is giving birth without possessing and acting without depending called mysterious virtue?
11	故有之以为利，无之以为用。	Being is the benefit, non-being is the use.	敢问有之以为利，无之以为用？	Dare I ask: how does being serve as benefit and non-being as use?
12	是以圣人为腹不为目，故去彼取此。	Therefore the sage acts for the belly, not for the eyes; thus he rejects the one and chooses the other.	敢问圣人为何为腹不为目？	Dare I ask: why does the sage act for the belly and not for the eyes?
13	故贵以身为天下，若可寄天下；爱以身为天下，若可托天下。	Therefore one who values the body more than the world may be entrusted with the world; one who loves the body more than the world may be given custody of the world.	敢问贵身何以寄天下？	Dare I ask: how does valuing the body allow one to be entrusted with the world?
14	执古之道，以御今之有；能知古始，是谓道纪。	Holding to the ancient Dao to govern the present is called the thread of Dao.	敢问执古之道何以御今之有？	Dare I ask: how does holding the ancient Dao govern the present?
15	夫唯不可识，故强为之容。	Because it cannot be known, we are forced to describe it.	敢问道为何不可识？	Dare I ask: why can the Dao not be known?
16	致虚极，守静笃；万物并作，吾以观复。	Attain utmost emptiness, hold fast to stillness; the myriad things arise together, and I watch their return.	敢问致虚守静何以观复？	Dare I ask: how does emptiness and stillness allow one to watch the return?
17	太上，不知有之；其次，亲而誉之；其次，畏之；其次，侮之。	The highest ruler is unknown to his subjects; next comes one whom they love and praise; next, one whom they fear; next, one whom they despise.	敢问太上何以不知有之？	Dare I ask: how is the highest ruler unknown to his subjects?
